Color,Paint,Gage,GroovedEmbossed,GroovedSmooth,SilklineEmbossed,SilklineSmooth,MicroribbedEmbossed,MicroribbedSmooth,Embossed,Smooth
Gris Tempéte/Storm Grey,PVDF SIGNATURE,22,41,40,41,40,39,38,21',20'
Gris Tempéte/Storm Grey,PVDF SIGNATURE,24,34.09,33.85,34.09,33.85,30.89,33.85,NA,NA
Gris Tempéte/Storm Grey,PVDF SIGNATURE,26,30.93,30.32,30.93,30.32,27.6,26.93,NA,NA
Gris Régent/Regent Gray,PVDF CLASSIC,22,41,40,41,40,39,38,21',20'
Gris Régent/Regent Gray,PVDF CLASSIC,24,33.72,33.49,33.72,33.49,30.51,33.49,NA,NA
Gris Régent/Regent Gray,PVDF CLASSIC,26,30.47,29.91,30.47,29.91,27.08,26.37,NA,NA
Bleu royal/Royal Blue,PVDF SIGNATURE,22,38.85,37.76,38.85,37.76,35.91,35.06,21',20'
Bleu royal/Royal Blue,PVDF SIGNATURE,24,32.48,32.27,32.48,32.27,29.27,32.27,NA,NA
Bleu royal/Royal Blue,PVDF SIGNATURE,26,28.9,28.53,28.9,28.53,25.3,24.48,NA,NA
Gris Rigel /Grey Rigel,METALLIC,22,41,40,41,40,38,37,21',20'
Gris Rigel /Grey Rigel,METALLIC,24,31.49,31.31,31.49,31.31,28.28,31.31,NA,NA
Gris Rigel /Grey Rigel,METALLIC,26,27.64,27.43,27.64,27.43,23.86,22.93,NA,NA
Bleu Héron/Heron Blue,SMP PREMIUM,22,37.92,36.89,37.92,36.89,35.13,34.27,21',18'
Bleu Héron/Heron Blue,SMP PREMIUM,24,31.33,31.15,31.33,31.15,28.12,31.15,NA,NA
Bleu Héron/Heron Blue,SMP PREMIUM,26,27.43,27.24,27.43,27.24,23.61,22.67,NA,NA
Rouge Colonial/Colonial Red,PVDF SIGNATURE,22,36.01,35.12,36.01,35.12,33.59,32.7,21',18'
Rouge Colonial/Colonial Red,PVDF SIGNATURE,24,28.93,28.8,28.93,28.8,25.71,28.8,NA,NA
Rouge Colonial/Colonial Red,PVDF SIGNATURE,26,24.29,24.55,24.29,24.55,19.92,18.71,NA,NA
Brun Foncé /Dark Brown,SMP PREMIUM,22,31,30,31,30,28,27,NA,NA
Brun Foncé /Dark Brown,SMP PREMIUM,24,26.4,26.33,26.4,26.33,23.17,26.33,NA,NA
Brun Foncé /Dark Brown,SMP PREMIUM,26,20.89,21.7,20.89,21.7,15.82,14.29,NA,NA
 Noir/Black ,METALLIC,22,28,28,28,28,28.6,27.65,NA,NA
 Noir/Black ,METALLIC,24,NA,NA,NA,NA,NA,NA,NA,NA
 Noir/Black ,METALLIC,26,NA,NA,NA,NA,NA,NA,NA,NA
